work_id,recommended_date,recommended_amount,state,ida,mp_name,mp_key,constituency,work_category,work_description,sanction_date,sanction_amount,work_status,completion_date,amount_disbursed,completion_status,expenditure_amount,expenditure_date,vendor_name,vendor_key,expenditure_transaction_count,payment_status,allocated_amount,allocation_state,allocation_constituency,calamity_count,calamity_consent_amount,calamity_types,effective_sanction_amount,cost_overrun_amount,cost_deviation_pct,utilization_pct,remaining_sanction_amount,allocation_utilization_pct,expenditure_over_sanction_ratio,recommendation_to_sanction_days,sanction_to_expenditure_days,project_duration_days,completion_delay_days,effectively_completed,dashboard_status,mp_total_projects,mp_total_sanction_amount,mp_total_expenditure_amount,mp_utilization_pct,category_median_sanction,cost_vs_category_median_pct,vendor_project_count,vendor_total_payment,vendor_average_payment,vendor_mp_count,vendor_state_count,vendor_payment_share_pct,vendor_concentration,split_payment_flag,n_signals_available,flag_cost_overrun,rule_expenditure_over_sanction,flag_extreme_cost_overrun,flag_delayed_project,rule_extreme_delay,flag_suspicious_vendor,rule_vendor_concentration,flag_multiple_payments,rule_split_payment,flag_duplicate_payment,flag_duplicate_beneficiary,flag_geographic_inconsistency,flag_unusual_expenditure,flag_transaction_outlier,rule_suspicious_transaction,is_govt_body,anomaly_count,rule_score,anomaly_type,explanation,ml_anomaly_score,any_is_anomaly_v2,lof_anomaly_score,any_is_anomaly_lof,risk_score,risk_category,risk_signal_strength,dataset_version,analysis_run_id,analysis_mode,utilization_pct_completed,known_false_positive,alert_id,severity,status,action_required
WS/MP18036/2026-2027/300065,,,,,,,,,,,,,,,,249990.0,2026-08-25,CHANCH PRO ENGINEERS,CHANCH PRO ENGINEERS,1.0,Payment In-Progress,83154562207.6,,,0.0,40567400.0,,,,,,,,,,,,,0,Under Implementation,3639,0.0,1479356807.0,,,,25,6249750.0,249990.0,1,1,4.0,0.006870019236053861,0,2,0,False,0,0,False,1,True,0,False,0,0,0,0,0,False,False,1,14,Suspicious Vendor,vendor has high project concentration,95.83902032514028,1,5.9999999967774995e-09,0,63.1,High,66.4,V22,RUN-20260905-0C8553,Early-Warning,,False,ALT-V22-0001,HIGH,Pending Verification,Review supporting records
WS/MP18036/2026-2027/300067,,,,,,,,,,,,,,,,249990.0,2026-08-25,CHANCH PRO ENGINEERS,CHANCH PRO ENGINEERS,1.0,Payment In-Progress,83154562207.6,,,0.0,40567400.0,,,,,,,,,,,,,0,Under Implementation,3639,0.0,1479356807.0,,,,25,6249750.0,249990.0,1,1,4.0,0.006870019236053861,0,2,0,False,0,0,False,1,True,0,False,0,0,0,0,0,False,False,1,14,Suspicious Vendor,vendor has high project concentration,95.83902032514028,1,5.9999999967774995e-09,0,63.1,High,66.4,V22,RUN-20260905-0C8553,Early-Warning,,False,ALT-V22-0002,HIGH,Pending Verification,Review supporting records
WS/MP18036/2026-2027/300068,,,,,,,,,,,,,,,,249990.0,2026-08-25,CHANCH PRO ENGINEERS,CHANCH PRO ENGINEERS,1.0,Payment In-Progress,83154562207.6,,,0.0,40567400.0,,,,,,,,,,,,,0,Under Implementation,3639,0.0,1479356807.0,,,,25,6249750.0,249990.0,1,1,4.0,0.006870019236053861,0,2,0,False,0,0,False,1,True,0,False,0,0,0,0,0,False,False,1,14,Suspicious Vendor,vendor has high project concentration,95.83902032514028,1,5.9999999967774995e-09,0,63.1,High,66.4,V22,RUN-20260905-0C8553,Early-Warning,,False,ALT-V22-0003,HIGH,Pending Verification,Review supporting records
WS/MP18036/2026-2027/300069,,,,,,,,,,,,,,,,249990.0,2026-08-25,CHANCH PRO ENGINEERS,CHANCH PRO ENGINEERS,1.0,Payment In-Progress,83154562207.6,,,0.0,40567400.0,,,,,,,,,,,,,0,Under Implementation,3639,0.0,1479356807.0,,,,25,6249750.0,249990.0,1,1,4.0,0.006870019236053861,0,2,0,False,0,0,False,1,True,0,False,0,0,0,0,0,False,False,1,14,Suspicious Vendor,vendor has high project concentration,95.83902032514028,1,5.9999999967774995e-09,0,63.1,High,66.4,V22,RUN-20260905-0C8553,Early-Warning,,False,ALT-V22-0004,HIGH,Pending Verification,Review supporting records
WS/MP18036/2026-2027/300070,,,,,,,,,,,,,,,,249990.0,2026-08-25,CHANCH PRO ENGINEERS,CHANCH PRO ENGINEERS,1.0,Payment In-Progress,83154562207.6,,,0.0,40567400.0,,,,,,,,,,,,,0,Under Implementation,3639,0.0,1479356807.0,,,,25,6249750.0,249990.0,1,1,4.0,0.006870019236053861,0,2,0,False,0,0,False,1,True,0,False,0,0,0,0,0,False,False,1,14,Suspicious Vendor,vendor has high project concentration,95.83902032514028,1,5.9999999967774995e-09,0,63.1,High,66.4,V22,RUN-20260905-0C8553,Early-Warning,,False,ALT-V22-0005,HIGH,Pending Verification,Review supporting records
WS/MP18036/2026-2027/300071,,,,,,,,,,,,,,,,249990.0,2026-08-25,CHANCH PRO ENGINEERS,CHANCH PRO ENGINEERS,1.0,Payment In-Progress,83154562207.6,,,0.0,40567400.0,,,,,,,,,,,,,0,Under Implementation,3639,0.0,1479356807.0,,,,25,6249750.0,249990.0,1,1,4.0,0.006870019236053861,0,2,0,False,0,0,False,1,True,0,False,0,0,0,0,0,False,False,1,14,Suspicious Vendor,vendor has high project concentration,95.83902032514028,1,5.9999999967774995e-09,0,63.1,High,66.4,V22,RUN-20260905-0C8553,Early-Warning,,False,ALT-V22-0006,HIGH,Pending Verification,Review supporting records
WS/MP18036/2026-2027/300079,,,,,,,,,,,,,,,,249990.0,2026-08-25,CHANCH PRO ENGINEERS,CHANCH PRO ENGINEERS,1.0,Payment In-Progress,83154562207.6,,,0.0,40567400.0,,,,,,,,,,,,,0,Under Implementation,3639,0.0,1479356807.0,,,,25,6249750.0,249990.0,1,1,4.0,0.006870019236053861,0,2,0,False,0,0,False,1,True,0,False,0,0,0,0,0,False,False,1,14,Suspicious Vendor,vendor has high project concentration,95.83902032514028,1,5.9999999967774995e-09,0,63.1,High,66.4,V22,RUN-20260905-0C8553,Early-Warning,,False,ALT-V22-0007,HIGH,Pending Verification,Review supporting records
WS/MP18036/2026-2027/300081,,,,,,,,,,,,,,,,249990.0,2026-08-25,CHANCH PRO ENGINEERS,CHANCH PRO ENGINEERS,1.0,Payment In-Progress,83154562207.6,,,0.0,40567400.0,,,,,,,,,,,,,0,Under Implementation,3639,0.0,1479356807.0,,,,25,6249750.0,249990.0,1,1,4.0,0.006870019236053861,0,2,0,False,0,0,False,1,True,0,False,0,0,0,0,0,False,False,1,14,Suspicious Vendor,vendor has high project concentration,95.83902032514028,1,5.9999999967774995e-09,0,63.1,High,66.4,V22,RUN-20260905-0C8553,Early-Warning,,False,ALT-V22-0008,HIGH,Pending Verification,Review supporting records
WS/MP18036/2026-2027/300082,,,,,,,,,,,,,,,,249990.0,2026-08-25,CHANCH PRO ENGINEERS,CHANCH PRO ENGINEERS,1.0,Payment In-Progress,83154562207.6,,,0.0,40567400.0,,,,,,,,,,,,,0,Under Implementation,3639,0.0,1479356807.0,,,,25,6249750.0,249990.0,1,1,4.0,0.006870019236053861,0,2,0,False,0,0,False,1,True,0,False,0,0,0,0,0,False,False,1,14,Suspicious Vendor,vendor has high project concentration,95.83902032514028,1,5.9999999967774995e-09,0,63.1,High,66.4,V22,RUN-20260905-0C8553,Early-Warning,,False,ALT-V22-0009,HIGH,Pending Verification,Review supporting records
WS/MP18036/2026-2027/300084,,,,,,,,,,,,,,,,249990.0,2026-08-25,CHANCH PRO ENGINEERS,CHANCH PRO ENGINEERS,1.0,Payment In-Progress,83154562207.6,,,0.0,40567400.0,,,,,,,,,,,,,0,Under Implementation,3639,0.0,1479356807.0,,,,25,6249750.0,249990.0,1,1,4.0,0.006870019236053861,0,2,0,False,0,0,False,1,True,0,False,0,0,0,0,0,False,False,1,14,Suspicious Vendor,vendor has high project concentration,95.83902032514028,1,5.9999999967774995e-09,0,63.1,High,66.4,V22,RUN-20260905-0C8553,Early-Warning,,False,ALT-V22-0010,HIGH,Pending Verification,Review supporting records
