month,allocated_amount,utilized_amount,dataset_version
2024-07,2135999.0,0.0,V22
2024-08,89881928.0,0.0,V22
2024-09,316002915.28,0.0,V22
2024-10,518716109.8,0.0,V22
2024-11,561335176.44,0.0,V22
2024-12,914726592.98,0.0,V22
2025-01,567880275.16,0.0,V22
2025-02,336994886.0,0.0,V22
2025-03,356444863.34,0.0,V22
2025-04,212378678.0,0.0,V22
2025-05,114836311.0,0.0,V22
2025-06,137062552.0,150000.0,V22
2025-07,97922784.0,200000.0,V22
2025-08,90465583.0,216409.0,V22
2025-09,100334739.0,550000.0,V22
2025-10,51781430.0,340078.0,V22
2025-11,42111463.0,333597.0,V22
2025-12,30133323.0,1447098.0,V22
2026-01,60225107.0,1068967.0,V22
2026-02,54048122.0,3146875.0,V22
2026-03,32054953.0,10743217.0,V22
2026-04,5805069.0,9555330.0,V22
2026-05,29284551.0,18196999.0,V22
2026-06,5850000.0,23987151.0,V22
2026-07,19453345.0,530419637.0,V22
2026-08,9068104.0,957934701.0,V22
