state,mp_name,total_works,works_with_sanction_data,total_sanctioned_amount,high_critical_count,avg_risk_score,max_risk_score,critical_count,high_count,medium_count,low_count,dataset_version,high_critical_rate_pct,small_sample_warning
,,3639,0,0.0,1299,37.483893926902994,65.6,0,1299,744,1596,V22,35.7,False
Uttar Pradesh,AJENDRA SINGH LODHI,75,71,41529000.0,15,32.18586666666667,61.05,0,15,39,21,V22,20.0,False
Uttar Pradesh,PUSHPENDRA SAROJ,361,349,22843451.0,50,26.902160664819945,57.3,0,50,3,308,V22,13.85,False
Uttar Pradesh,VINOD KUMAR BIND,369,320,38089866.0,28,27.68929539295393,56.64,0,28,119,222,V22,7.59,False
Maharashtra,Piyush Vedprakash Goyal,14,14,28500000.0,1,41.36571428571428,50.22,0,1,13,0,V22,7.14,False
Jharkhand,Shri Chandra Prakash Choudhary,482,451,38736462.0,29,32.29053941908713,63.9,0,29,388,65,V22,6.02,False
Uttar Pradesh,CHANDAN CHAUHAN,22,17,12578200.0,1,19.207272727272727,52.68,0,1,0,21,V22,4.55,False
Andhra Pradesh,Balashowry Vallabbhaneni,13,13,6383559.0,0,7.587692307692308,15.12,0,0,0,13,V22,0.0,False
Andhra Pradesh,C.M.RAMESH,5,0,0.0,0,8.89,8.89,0,0,0,5,V22,0.0,False
Andhra Pradesh,DAGGUMALLA PRASADA RAO,96,88,46841989.0,0,23.577604166666664,32.37,0,0,30,66,V22,0.0,False
Andhra Pradesh,DR BYREDDY SHABARI,41,0,0.0,0,3.58,3.58,0,0,0,41,V22,0.0,False
Andhra Pradesh,Dr Chandra Sekhar Pemmasani,3,0,0.0,0,4.29,4.29,0,0,0,3,V22,0.0,True
Andhra Pradesh,GM Harish Balayogi,10,1,3507771.0,0,2.38,11.83,0,0,0,10,V22,0.0,False
West Bengal,BAPI HALDAR,95,84,28881057.0,0,20.593052631578946,26.87,0,0,20,75,V22,0.0,False
West Bengal,DR. SHARMILA SARKAR,35,24,21170129.0,0,21.845142857142857,31.9,0,0,1,34,V22,0.0,False
West Bengal,Dr Sukanta Majumdar,7,2,1902957.0,0,3.057142857142857,15.48,0,0,0,7,V22,0.0,False
West Bengal,ISHA KHAN CHOUDHURY,19,0,0.0,0,3.34,3.34,0,0,0,19,V22,0.0,False
West Bengal,JAGADISH CHANDRA BARMA BASUNIA,38,35,30133067.0,0,20.176315789473687,29.91,0,0,2,36,V22,0.0,False
West Bengal,JUNE MALIAH,5,0,0.0,0,3.34,3.34,0,0,0,5,V22,0.0,False
West Bengal,Jagannath Sarkar,55,41,20169014.0,0,18.945999999999998,26.36,0,0,1,54,V22,0.0,False
West Bengal,KALIPADA SAREN,35,5,16074531.0,0,20.42571428571429,34.32,0,0,5,30,V22,0.0,False
West Bengal,Kakoli Ghosh Dastidar,66,57,36985271.0,0,21.30469696969697,30.34,0,0,3,63,V22,0.0,False
West Bengal,Kalyan Banerjee,71,26,16289438.0,0,18.82281690140845,20.86,0,0,0,71,V22,0.0,False
West Bengal,Khagen Murmu,1,0,0.0,0,3.34,3.34,0,0,0,1,V22,0.0,True
West Bengal,Khalilur Rahaman,1,0,0.0,0,3.34,3.34,0,0,0,1,V22,0.0,True
West Bengal,Mala Roy,32,13,23763528.0,0,19.845312500000002,26.36,0,0,1,31,V22,0.0,False
West Bengal,Ms Mahua Moitra,24,21,35958802.0,0,23.864583333333332,33.96,0,0,8,16,V22,0.0,False
Assam,GAURAV GOGOI,63,39,7649156.0,0,9.22968253968254,10.43,0,0,0,63,V22,0.0,False
Assam,JOYANTA BASUMATARY,10,0,0.0,0,3.34,3.34,0,0,0,10,V22,0.0,False
Assam,PHANI BHUSAN CHOUDHURY,3,0,0.0,0,3.34,3.34,0,0,0,3,V22,0.0,True
Assam,Pradan Baruah,36,18,15400000.0,0,18.893333333333334,27.66,0,0,1,35,V22,0.0,False
Assam,Pradyut Bordoloi,23,9,2000000.0,0,1.1578260869565218,3.47,0,0,0,23,V22,0.0,False
Assam,RAKIBUL HUSSAIN,38,22,10450000.0,0,12.131578947368421,13.36,0,0,0,38,V22,0.0,False
Assam,RANJIT DUTTA,21,0,0.0,0,3.34,3.34,0,0,0,21,V22,0.0,False
Assam,Shri Sarbananda Sonowal (18LS),3,0,0.0,0,3.34,3.34,0,0,0,3,V22,0.0,True
Bihar,ABHAY KUMAR SINHA,111,70,28935208.0,0,19.438198198198197,21.15,0,0,0,111,V22,0.0,False
Bihar,ARUN BHARTI,68,0,0.0,0,6.99,6.99,0,0,0,68,V22,0.0,False
Bihar,Ajay Kumar Mandal,30,0,0.0,0,3.3399999999999994,3.34,0,0,0,30,V22,0.0,False
Bihar,Alok Kumar Suman,25,19,18942374.0,0,19.780800000000003,27.18,0,0,1,24,V22,0.0,False
Bihar,Ashok Kumar Yadav,67,6,3408991.0,0,1.678955223880597,3.37,0,0,0,67,V22,0.0,False
Bihar,CHIRAG PASWAN,6,0,0.0,0,3.34,3.34,0,0,0,6,V22,0.0,False
Bihar,DEVESH CHANDRA THAKUR,82,0,0.0,0,4.61,4.61,0,0,0,82,V22,0.0,False
Bihar,Dileshwar Kamait,44,34,38902384.0,0,21.827727272727273,31.03,0,0,5,39,V22,0.0,False
Bihar,Dinesh Chandra Yadav,69,0,0.0,0,3.58,3.58,0,0,0,69,V22,0.0,False
Bihar,Dr Mohammad Jawed,72,42,26952000.0,0,19.295555555555556,19.64,0,0,0,72,V22,0.0,False
Bihar,Giridhari Yadav,45,16,20074735.0,0,21.532222222222224,33.52,0,0,5,40,V22,0.0,False
Bihar,Giriraj Singh,13,0,0.0,0,3.3400000000000003,3.34,0,0,0,13,V22,0.0,False
Bihar,JITAN RAM MANJHI,18,0,0.0,0,3.34,3.34,0,0,0,18,V22,0.0,False
Bihar,Kaushalendra Kumar,13,0,0.0,0,3.3400000000000003,3.34,0,0,0,13,V22,0.0,False
Bihar,LOVELY ANAND,11,0,0.0,0,3.3399999999999994,3.34,0,0,0,11,V22,0.0,False
Bihar,MANOJ KUMAR,50,24,22300943.0,0,19.4726,25.93,0,0,2,48,V22,0.0,False
Bihar,Mr Gopal Jee Thakur,52,0,0.0,0,3.3400000000000003,3.34,0,0,0,52,V22,0.0,False
Bihar,Nityanand Rai,24,0,0.0,0,3.34,3.34,0,0,0,24,V22,0.0,False
Bihar,Pradeep Kumar Singh,39,12,27673127.0,0,21.060769230769232,26.36,0,0,11,28,V22,0.0,False
Bihar,RAJ BHUSHAN CHOUDHARY,60,0,0.0,0,3.3399999999999994,3.34,0,0,0,60,V22,0.0,False
Bihar,RAJA RAM SINGH,64,0,0.0,0,3.34,3.34,0,0,0,64,V22,0.0,False
Bihar,RAJESH RANJAN ALIAS PAPPU YADAV,46,40,36550000.0,0,22.007608695652173,33.13,0,0,1,45,V22,0.0,False
Bihar,RAJESH VERMA,51,16,15205140.0,0,19.01764705882353,21.56,0,0,0,51,V22,0.0,False
Bihar,Radha Mohan Singh,32,13,17846559.0,0,21.7815625,31.35,0,0,7,25,V22,0.0,False
Bihar,Ramprit Mandal,71,37,39099471.0,0,20.826901408450706,27.53,0,0,10,61,V22,0.0,False
Bihar,Ravi Shankar Prasad,50,8,5144500.0,0,5.6442,14.98,0,0,0,50,V22,0.0,False
Bihar,SUDAMA PRASAD,4,0,0.0,0,3.34,3.34,0,0,0,4,V22,0.0,True
Bihar,SUDHAKAR SINGH,82,37,31040805.0,0,24.175365853658533,35.04,0,0,17,65,V22,0.0,False
Bihar,SURENDRA PRASAD YADAV,6,0,0.0,0,3.99,3.99,0,0,0,6,V22,0.0,False
Bihar,Shri Janardan Singh Sigriwal,8,0,0.0,0,3.34,3.34,0,0,0,8,V22,0.0,False
Bihar,Smt Veena Devi,30,6,30000000.0,0,21.227,35.83,0,0,6,24,V22,0.0,False
Bihar,Sunil Kumar,30,0,0.0,0,3.3399999999999994,3.34,0,0,0,30,V22,0.0,False
Bihar,TARIQ ANWAR,9,1,994740.0,0,0.9300000000000002,3.01,0,0,0,9,V22,0.0,False
Bihar,VIJAYLAKSHMI DEVI,91,33,32846242.0,0,19.34010989010989,27.34,0,0,2,89,V22,0.0,False
Chandigarh,MANISH TEWARI,24,0,0.0,0,6.31,6.31,0,0,0,24,V22,0.0,False
Chhattisgarh,BHOJRAJ NAG,18,0,0.0,0,4.78,4.78,0,0,0,18,V22,0.0,False
Chhattisgarh,BRIJMOHAN AGRAWAL,48,34,22801630.0,0,19.543541666666666,22.59,0,0,0,48,V22,0.0,False
Chhattisgarh,CHINTAMANI MAHARAJ,74,10,9997500.0,0,15.131216216216217,38.96,0,0,4,70,V22,0.0,False
Chhattisgarh,Jyotsna Charandas Mahant,154,90,31064222.0,0,20.12474025974026,28.59,0,0,6,148,V22,0.0,False
Chhattisgarh,KAMLESH JANGDE,128,61,48468461.0,0,21.942265625,33.15,0,0,37,91,V22,0.0,False
Chhattisgarh,MAHESH KASHYAP,72,51,35231459.0,0,19.585416666666667,25.6,0,0,1,71,V22,0.0,False
Chhattisgarh,RADHE SHYAM RATHIYA,104,52,32308855.0,0,20.874711538461536,27.56,0,0,2,102,V22,0.0,False
Chhattisgarh,ROOP KUMARI CHOUDHARY,74,28,14938241.0,0,19.334594594594595,25.9,0,0,1,73,V22,0.0,False
Chhattisgarh,Santosh Pandey,55,4,3899375.0,0,1.786181818181818,17.47,0,0,0,55,V22,0.0,False
Chhattisgarh,TOKHAN SAHU,47,28,18483654.0,0,21.45936170212766,26.45,0,0,1,46,V22,0.0,False
Chhattisgarh,Vijay Baghel,67,1,1000000.0,0,0.7343283582089553,4.98,0,0,0,67,V22,0.0,False
Delhi,Bansuri Swaraj,6,0,0.0,0,3.8699999999999997,3.87,0,0,0,6,V22,0.0,False
Delhi,Harsh Malhotra,7,6,4381997.0,0,4.485714285714286,5.05,0,0,0,7,V22,0.0,False
Delhi,Kamaljeet Sehrawat,1,0,0.0,0,3.34,3.34,0,0,0,1,V22,0.0,True
Delhi,Manoj Tiwari,2,2,1949850.0,0,10.585,10.69,0,0,0,2,V22,0.0,True
Delhi,Ramvir Singh Bidhuri,3,0,0.0,0,3.5,3.5,0,0,0,3,V22,0.0,True
Goa,CAPTAIN VIRIATO FERNANDES,25,0,0.0,0,3.34,3.34,0,0,0,25,V22,0.0,False
Goa,Shripad Yesso Naik,4,3,2760000.0,0,4.8025,13.33,0,0,0,4,V22,0.0,True
Gujarat,BHARATBHAI MANUBHAI SUTARIYA,95,43,13786158.0,0,18.81726315789474,19.8,0,0,0,95,V22,0.0,False
Gujarat,Bharatsinhji Shankarji Dabhi,138,5,2300000.0,0,0.0,0.0,0,0,0,138,V22,0.0,False
Gujarat,C R Patil,229,1,500000.0,0,9.744672489082967,15.93,0,0,0,229,V22,0.0,False
Gujarat,CHANDUBHAI CHHAGANBHAI SHIHORA,61,0,0.0,0,3.34,3.34,0,0,0,61,V22,0.0,False
Gujarat,DHAVAL LAXMANBHAI PATEL,26,0,0.0,0,3.3400000000000003,3.34,0,0,0,26,V22,0.0,False
Gujarat,DINESHBHAI MAKWANA,1,0,0.0,0,4.29,4.29,0,0,0,1,V22,0.0,True
Gujarat,DR. HEMANG JOSHI,42,9,10206868.0,0,13.259285714285713,15.15,0,0,0,42,V22,0.0,False
Gujarat,DR. MANSUKH MANDAVIYA,16,0,0.0,0,3.34,3.34,0,0,0,16,V22,0.0,False
Gujarat,Devusinh Jesingbhai Chauhan,98,1,450000.0,0,2.407857142857143,2.41,0,0,0,98,V22,0.0,False
Gujarat,GENIBEN NAGAJI THAKOR,13,0,0.0,0,3.3400000000000003,3.34,0,0,0,13,V22,0.0,False
Gujarat,HARIBHAI PATEL,102,0,0.0,0,3.34,3.34,0,0,0,102,V22,0.0,False
