work_id,dataset_version,state,constituency,mp_name,work_category,sanction_amount,work_status,analysis_mode,effectively_completed,risk_score,risk_category,n_signals_available,split_payment_flag,is_govt_body,any_is_anomaly_v2,any_is_anomaly_lof,cost_deviation_pct,utilization_pct_completed,recommendation_to_sanction_days,rule_expenditure_over_sanction,rule_extreme_delay,rule_vendor_concentration,known_false_positive,effective_sanction_amount,expenditure_amount,amount_disbursed,allocated_amount,recommended_date,sanction_date,completion_date,expenditure_date,project_duration_days,vendor_name,vendor_project_count,vendor_total_payment,anomaly_count,anomaly_type,ml_anomaly_score,rule_score,risk_signal_strength,explanation,dashboard_status,analysis_run_id
WS/TEST/2026/00020,V16,Rajasthan,,,Rural Development,900000.0,,Early-Warning,0,60.0,High,2,0,False,1,0,-100.0,,,False,False,False,False,900000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,100.0,0,62.5,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00019,V16,Maharashtra,,,Rural Development,880000.0,,Early-Warning,0,55.45,High,2,0,False,1,0,-100.0,,,False,False,False,False,880000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,92.42012479499526,0,56.8,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00018,V16,Rajasthan,,,Rural Development,860000.0,,Early-Warning,0,41.24,Medium,2,0,False,0,0,-100.0,,,False,False,False,False,860000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,68.72616961595,0,39.1,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00029,V16,Maharashtra,,,Rural Development,1080000.0,,Early-Warning,0,40.14,Medium,1,0,False,0,0,,,,False,False,False,False,1080000.0,,,,,2026-01-15,,,,,0,0.0,0,None,66.89908494290773,0,37.7,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00030,V16,Rajasthan,,,Rural Development,1100000.0,,Early-Warning,0,40.14,Medium,1,0,False,0,0,,,,False,False,False,False,1100000.0,,,,,2026-01-15,,,,,0,0.0,0,None,66.89908494290773,0,37.7,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00026,V16,Rajasthan,,,Rural Development,1020000.0,,Early-Warning,0,39.62,Medium,1,0,False,0,0,,,,False,False,False,False,1020000.0,,,,,2026-01-15,,,,,0,0.0,0,None,66.03350724480613,0,37.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00021,V16,Maharashtra,,,Rural Development,920000.0,,Early-Warning,0,39.62,Medium,1,0,False,0,0,,,,False,False,False,False,920000.0,,,,,2026-01-15,,,,,0,0.0,0,None,66.03350724480613,0,37.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00028,V16,Rajasthan,,,Rural Development,1060000.0,,Early-Warning,0,39.62,Medium,1,0,False,0,0,,,,False,False,False,False,1060000.0,,,,,2026-01-15,,,,,0,0.0,0,None,66.03350724480613,0,37.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00027,V16,Maharashtra,,,Rural Development,1040000.0,,Early-Warning,0,39.62,Medium,1,0,False,0,1,,,,False,False,False,False,1040000.0,,,,,2026-01-15,,,,,0,0.0,0,None,66.03350724480613,0,37.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00025,V16,Maharashtra,,,Rural Development,1000000.0,,Early-Warning,0,36.12,Medium,1,0,False,0,0,,,,False,False,False,False,1000000.0,,,,,2026-01-15,,,,,0,0.0,0,None,60.19914186996035,0,32.6,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00022,V16,Rajasthan,,,Rural Development,940000.0,,Early-Warning,0,36.12,Medium,1,0,False,0,0,,,,False,False,False,False,940000.0,,,,,2026-01-15,,,,,0,0.0,0,None,60.19914186996035,0,32.6,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00023,V16,Maharashtra,,,Rural Development,960000.0,,Early-Warning,0,36.12,Medium,1,0,False,0,0,,,,False,False,False,False,960000.0,,,,,2026-01-15,,,,,0,0.0,0,None,60.19914186996035,0,32.6,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00024,V16,Rajasthan,,,Rural Development,980000.0,,Early-Warning,0,36.12,Medium,1,0,False,0,0,,,,False,False,False,False,980000.0,,,,,2026-01-15,,,,,0,0.0,0,None,60.19914186996035,0,32.6,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00017,V16,Maharashtra,,,Rural Development,840000.0,,Early-Warning,0,34.23,Medium,2,0,False,0,0,-100.0,,,False,False,False,False,840000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,57.05751489054563,0,30.3,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00016,V16,Rajasthan,,,Rural Development,820000.0,,Early-Warning,0,33.21,Medium,2,0,False,0,0,-100.0,,,False,False,False,False,820000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,55.34629140647914,0,29.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00015,V16,Maharashtra,,,Rural Development,800000.0,,Early-Warning,0,33.21,Medium,2,0,False,0,0,-100.0,,,False,False,False,False,800000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,55.34629140647914,0,29.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00005,V16,Maharashtra,,,Rural Development,600000.0,,Early-Warning,0,22.08,Low,2,0,False,0,0,-100.0,,,False,False,False,False,600000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,36.794699405607076,0,15.1,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00006,V16,Rajasthan,,,Rural Development,620000.0,,Early-Warning,0,15.08,Low,2,0,False,0,0,-100.0,,,False,False,False,False,620000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,25.136845051143247,0,6.3,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00007,V16,Maharashtra,,,Rural Development,640000.0,,Early-Warning,0,15.08,Low,2,0,False,0,0,-100.0,,,False,False,False,False,640000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,25.136845051143247,0,6.3,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00004,V16,Rajasthan,,,Rural Development,580000.0,,Early-Warning,0,9.62,Low,2,0,False,0,1,-100.0,,,False,False,False,False,580000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,16.0282263324439,0,0.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00013,V16,Maharashtra,,,Rural Development,760000.0,,Early-Warning,0,9.36,Low,2,0,False,0,0,-100.0,,,False,False,False,False,760000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,15.603807913780305,0,0.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00014,V16,Rajasthan,,,Rural Development,780000.0,,Early-Warning,0,9.36,Low,2,0,False,0,0,-100.0,,,False,False,False,False,780000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,15.603807913780305,0,0.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00012,V16,Rajasthan,,,Rural Development,740000.0,,Early-Warning,0,8.46,Low,2,0,False,0,0,-100.0,,,False,False,False,False,740000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,14.103876386866403,0,0.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00010,V16,Rajasthan,,,Rural Development,700000.0,,Early-Warning,0,5.62,Low,2,0,False,0,0,-100.0,,,False,False,False,False,700000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,9.366313494415717,0,0.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00011,V16,Maharashtra,,,Rural Development,720000.0,,Early-Warning,0,5.62,Low,2,0,False,0,0,-100.0,,,False,False,False,False,720000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,9.366313494415717,0,0.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00001,V16,Maharashtra,,,Rural Development,520000.0,,Early-Warning,0,2.63,Low,2,0,False,0,1,-100.0,,,False,False,False,False,520000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,4.377395945574118,0,0.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00003,V16,Maharashtra,,,Rural Development,560000.0,,Early-Warning,0,2.63,Low,2,0,False,0,0,-100.0,,,False,False,False,False,560000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,4.377395945574118,0,0.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00009,V16,Maharashtra,,,Rural Development,680000.0,,Early-Warning,0,2.12,Low,2,0,False,0,0,-100.0,,,False,False,False,False,680000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,3.5415323709274715,0,0.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00008,V16,Rajasthan,,,Rural Development,660000.0,,Early-Warning,0,2.12,Low,2,0,False,0,0,-100.0,,,False,False,False,False,660000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,3.5415323709274715,0,0.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
WS/TEST/2026/00002,V16,Rajasthan,,,Rural Development,540000.0,,Early-Warning,0,0.0,Low,2,0,False,0,0,-100.0,,,False,False,False,False,540000.0,0.0,,,,2026-01-15,,,,,0,0.0,0,None,0.0,0,0.0,No material anomaly signal detected.,Under Implementation,RUN-20260904-9908A3
