state,total_works,works_with_sanction_data,total_sanctioned_amount,high_critical_count,avg_risk_score,max_risk_score,critical_count,high_count,medium_count,low_count,dataset_version,high_critical_rate_pct,small_sample_warning
,3639,0,0.0,1299,37.483893926902994,65.6,0,1299,744,1596,V22,35.7,False
Jharkhand,955,610,137252562.0,29,21.300041884816753,63.9,0,29,388,538,V22,3.04,False
Uttar Pradesh,6571,2732,1078325081.56,94,16.145810378937757,61.05,0,94,560,5917,V22,1.43,False
Maharashtra,444,224,253586121.0,1,14.316531531531531,50.22,0,1,58,385,V22,0.23,False
Andhra Pradesh,725,257,145612932.0,0,11.443310344827585,41.94,0,0,42,683,V22,0.0,False
Arunachal Pradesh,119,45,46995613.0,0,14.926470588235293,33.76,0,0,13,106,V22,0.0,False
Chhattisgarh,841,359,218193397.0,0,16.907931034482758,38.96,0,0,52,789,V22,0.0,False
Delhi,19,8,6331847.0,0,4.717368421052631,10.69,0,0,0,19,V22,0.0,False
Bihar,1473,414,395917219.0,0,12.859816700610999,35.83,0,0,67,1406,V22,0.0,False
Assam,284,161,100331696.0,0,13.949964788732395,48.82,0,0,28,256,V22,0.0,False
Gujarat,1629,262,102124428.0,0,6.736138735420504,29.23,0,0,2,1627,V22,0.0,False
Haryana,274,54,42857874.0,0,6.398029197080292,29.55,0,0,1,273,V22,0.0,False
Himachal Pradesh,393,67,23123920.0,0,8.024249363867686,32.74,0,0,5,388,V22,0.0,False
Jammu And Kashmir,151,62,11963246.0,0,13.460066225165562,28.1,0,0,1,150,V22,0.0,False
Karnataka,532,111,64144789.0,0,7.928458646616541,40.05,0,0,8,524,V22,0.0,False
Kerala,424,256,164902712.34,0,15.853443396226414,38.36,0,0,44,380,V22,0.0,False
Goa,29,3,2760000.0,0,3.5417241379310345,13.33,0,0,0,29,V22,0.0,False
Chandigarh,24,0,0.0,0,6.31,6.31,0,0,0,24,V22,0.0,False
Madhya Pradesh,2128,776,302247481.0,0,13.044948308270678,37.46,0,0,214,1914,V22,0.0,False
Lakshadweep,1,0,0.0,0,3.87,3.87,0,0,0,1,V22,0.0,True
Meghalaya,135,1,1000000.0,0,1.9461481481481482,6.22,0,0,0,135,V22,0.0,False
Manipur,34,0,0.0,0,3.34,3.34,0,0,0,34,V22,0.0,False
Nagaland,38,23,49000000.0,0,23.394736842105264,35.28,0,0,15,23,V22,0.0,False
Odisha,647,115,55686256.0,0,9.644775888717156,41.17,0,0,10,637,V22,0.0,False
Puducherry,14,9,18624900.0,0,29.43357142857143,34.87,0,0,13,1,V22,0.0,False
Mizoram,125,101,44997115.0,0,19.19648,29.2,0,0,1,124,V22,0.0,False
Punjab,1135,306,84678665.0,0,14.401770925110132,31.03,0,0,100,1035,V22,0.0,False
Rajasthan,716,368,204597364.1,0,12.849525139664804,30.64,0,0,48,668,V22,0.0,False
Tamil Nadu,1898,409,449180080.0,0,16.096933614330876,37.04,0,0,130,1768,V22,0.0,False
Sikkim,31,20,46078159.0,0,24.844193548387096,34.44,0,0,17,14,V22,0.0,False
Telangana,1439,328,98679030.0,0,17.406893676164003,40.16,0,0,421,1018,V22,0.0,False
Tripura,4,0,0.0,0,3.34,3.34,0,0,0,4,V22,0.0,True
Uttarakhand,77,3,4996274.0,0,3.943766233766234,13.99,0,0,0,77,V22,0.0,False
West Bengal,1758,916,630027105.0,0,16.865784982935153,45.28,0,0,250,1508,V22,0.0,False
