transaction_id,work_id,dataset_version,vendor_name,amount,date,expected_range,deviation_percent,ai_flag,payment_status
TXN-000001,WS/TEST/2026/00001,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000002,WS/TEST/2026/00002,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000003,WS/TEST/2026/00003,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000004,WS/TEST/2026/00004,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000005,WS/TEST/2026/00005,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000006,WS/TEST/2026/00006,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000007,WS/TEST/2026/00007,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000008,WS/TEST/2026/00008,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000009,WS/TEST/2026/00009,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000010,WS/TEST/2026/00010,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000011,WS/TEST/2026/00011,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000012,WS/TEST/2026/00012,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000013,WS/TEST/2026/00013,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000014,WS/TEST/2026/00014,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000015,WS/TEST/2026/00015,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000016,WS/TEST/2026/00016,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000017,WS/TEST/2026/00017,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000018,WS/TEST/2026/00018,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000019,WS/TEST/2026/00019,V16,,,,0.00 - 0.00,0.0,LOW,
TXN-000020,WS/TEST/2026/00020,V16,,,,0.00 - 0.00,0.0,LOW,
