vendor_name,total_payment,projects,avg_cost,avg_risk,dataset_version
SHRI GURU KRIPA NARSINGH ASSOCIATES,35321457.0,1,35321457.0,41.38,V1
BSDEV INFRATECH INIDA PRIVATE LIMITED,22288000.0,28,796000.0,65.17,V1
SWAMI POWERTECH,18478681.0,109,169529.18348623853,65.6,V1
JAI MATA DI VP CONSTRUCTION,18055890.0,25,722235.6,65.3696,V1
RAILTRO ENGINEERING PVT LTD,14052200.0,50,281044.0,65.5,V1
SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS,13121600.0,16,820100.0,64.96,V1
NAVEEN ENTERPRISES,12888768.0,54,238680.88888888888,65.58481481481482,V1
Alam Brothers,11550000.0,12,962500.0,64.64,V1
Tvinkal Saroj,10813173.0,8,1351646.625,59.3175,V1
D AND GRANDSONS ENGG PVT LTD,9995000.0,5,1999000.0,59.09000000000001,V1
Gaur Construction,9707139.0,1,9707139.0,41.38,V1
SOFTHARD INNOVATIONS SOLUTIONS PRIVATE LIMITED,9000000.0,1,9000000.0,41.38,V1
SHRI GANESH ELECTRICAL AND CONTRACTER,8985075.0,53,169529.71698113208,65.6,V1
Naina Devi Construction,8608116.0,33,260852.0,65.6,V1
RAMJI CONSTRUCTION,8580000.0,1,8580000.0,41.38,V1
EXECUTIVE ENGINER NREP GIRIDIH,7986645.0,39,204785.76923076922,63.20487179487179,V1
A MINE TRADERS,7661676.0,44,174129.0,65.6,V1
Krishna Kumar Contractor,7568246.0,29,260974.0,65.14,V1
G H ENTERPRISES,7125147.0,69,103263.0,65.37,V1
TUMKUR NIRMITHI KENDRA,6975000.0,6,1162500.0,59.21,V1
Lhangti Konyak,6800000.0,1,6800000.0,38.53,V1
Lakshya Contruction,6370363.0,27,235939.37037037036,62.086666666666666,V1
CHANCH PRO ENGINEERS,6249750.0,25,249990.0,63.1,V1
Mhachen Humtsoe,6000000.0,1,6000000.0,36.22,V1
District Engineer,5849689.0,26,224988.03846153847,62.04538461538462,V1
SHREE KRIPA ENTERPRISES SATNA,5809403.0,29,200324.24137931035,62.05827586206897,V1
BOND CONSTRUCTION,5153164.0,10,515316.4,61.164,V1
Executive Engineer and EO,4998740.0,1,4998740.0,47.82,V1
PARVATI CONSTRUCTION,4975000.0,1,4975000.0,35.37,V1
M Butchaiah and Company,4939780.0,1,4939780.0,35.1,V1
RAJAT SUBHRA MANDAL,4881631.0,1,4881631.0,35.1,V1
R G SUPPLIERS,4830000.0,46,105000.0,61.59000000000001,V1
BDO SUBDEGA PS MISC,4800000.0,10,480000.0,60.77,V1
Royal traders,4725463.0,1,4725463.0,34.62,V1
KRISHNAPPA C S,4681278.0,1,4681278.0,34.62,V1
M S TRADERS,4590384.0,4,1147596.0,53.52,V1
VISHWESHWARI ELECTRICALS,4577310.0,27,169530.0,61.07,V1
NIRMITHI KENDRA DAVANGERE,4500000.0,6,750000.0,54.18666666666667,V1
SUBRATA SAHA,4410180.0,6,735030.0,54.54,V1
anurag urban tecinfra pvt ltd,4395727.0,2,2197863.5,46.295,V1
ABHISHEK KUMAR SINGH,4368000.0,1,4368000.0,34.38,V1
Medoju Venugopal,4354322.0,3,1451440.6666666667,51.056666666666665,V1
IMAMUDDIN,4343578.0,70,62051.114285714284,58.351,V1
KRIDL BHUSIRI ACCOUNT WORKS,4325000.0,12,360416.6666666667,49.49916666666667,V1
Prasenjit Das,4316480.0,1,4316480.0,34.38,V1
Gandhi Construction And Supplier,4086433.0,35,116755.22857142857,57.412,V1
SATYAVER SIGH CONTRACTOR AND SUPPLIER,4019502.0,10,401950.2,58.553,V1
Vastu Shree Constructions,4001775.0,6,666962.5,53.82833333333334,V1
TANISHKA PRAKASHAN,4000000.0,1,4000000.0,33.22,V1
AGAMESWARI CO OPERATIVE LABOUR CONTRACT AND CONSTRUCTION SOCIETY LTD,3994199.0,1,3994199.0,33.22,V1
EXECUTIVE ENGINEER N R E P DEOGHAR MPLADS,3837500.0,24,159895.83333333334,59.974583333333335,V1
L G Arasu,3774771.0,3,1258257.0,52.583333333333336,V1
AADI AND RUDRANSH CONSTRUCTION COMPANY,3703633.0,4,925908.25,46.7475,V1
JAI PRAKASH,3649140.0,10,364914.0,58.886,V1
DEEPAK KUMAR SHARMA,3528574.0,3,1176191.3333333333,49.79,V1
satya dev construction co,3460185.0,4,865046.25,51.4975,V1
ARVIND SINGH SATNA,3370745.0,16,210671.5625,58.168749999999996,V1
MANISH FEBRICATION,3319262.0,22,150875.54545454544,58.43,V1
RAJKUMAR TIWARI,3170432.0,1,3170432.0,31.19,V1
A K CONSTRUCTION,3167325.0,11,287938.63636363635,57.55181818181818,V1
SS Steel Industries Sirsa,3149996.0,18,174999.77777777778,58.080000000000005,V1
KAMBOJ AGRI WORKS,3135000.0,19,165000.0,58.43000000000001,V1
D R KUKADIA,3130066.0,1,3130066.0,31.19,V1
CHADARAM VENKATA RAMANA,3121992.0,2,1560996.0,38.03,V1
NEELAM VERMA,3020327.0,7,431475.28571428574,51.494285714285716,V1
DIVINE ENTERPRISES,3000000.0,5,600000.0,51.053999999999995,V1
Sree and Co,3000000.0,1,3000000.0,36.42,V1
SANSKRUTI ASSOCIATES PVT LTD,2998500.0,1,2998500.0,30.34,V1
PREM SAI MAJUR SAHAKARI SANSTHA MARYADIT,2983846.0,3,994615.3333333334,47.94,V1
mohini anil bhise,2981098.0,3,993699.3333333334,47.94,V1
Keltron Component complex Ltd Kannur,2970000.0,26,114230.76923076923,57.66307692307692,V1
BHAGWATI CHAND,2940447.0,1,2940447.0,30.34,V1
