work_id,state,ida,mp_name,constituency,work_category,work_description,recommended_amount,effective_sanction_amount,expenditure_amount,amount_disbursed,allocated_amount,work_status,completion_status,effectively_completed,recommended_date,sanction_date,expenditure_date,completion_date,recommendation_to_sanction_days,sanction_to_expenditure_days,project_duration_days,utilization_pct,cost_overrun_amount,cost_deviation_pct,remaining_sanction_amount,vendor_name,vendor_project_count,vendor_total_payment,vendor_average_payment,vendor_mp_count,vendor_state_count,vendor_payment_share_pct,expenditure_transaction_count,calamity_count,calamity_consent_amount,anomaly_count,anomaly_type,ml_anomaly_score,rule_score,risk_score,risk_category,risk_signal_strength,explanation,alert_id,severity,status,action_required
WS/MP18126/2025,Maharashtra,NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA),ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),Normal/Others,Construction of Ranala Bus stop shed,1199000.0,1199000.0,31532479.0,,147816309.11,Sanction,,0,2024-08-19,2025-08-21,2026-08-05,,367.0,349.0,,2629.8981651376143,30333479.0,2529.8981651376143,-30333479.0,SWAMI POWERTECH,1,31532479.0,31532479.0,1,1,100.0,186.0,,,5,Unusual Expenditure; Duplicate Payment; Transaction Outlier,100.0,52,80.8,Critical,88.5,expenditure is in an extreme upper range; expenditure exceeds effective sanctioned amount; possible repeated work/vendor/amount payment pattern,ALT-20260902-0001,CRITICAL,Pending Verification,Immediate administrative verification
WS/MP18225/2025,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Normal/Others,Kishori Lal son of Dinanath Add.-Annava Andhawa Babaganj ke ghar ke samne hundpump,,50800.0,6159182.0,50781.0,147000000.0,Work partially Completed,Completed,1,2024-11-06,,2026-07-27,2026-03-27,,,506.0,12124.374015748032,6108382.0,12024.374015748032,-6108382.0,IMAMUDDIN,1,6159182.0,6159182.0,1,1,100.0,72.0,,,4,Cost Overrun; Duplicate Payment,100.0,44,77.6,High,84.5,cost deviation is unusually high; possible repeated work/vendor/amount payment pattern,ALT-20260902-0002,HIGH,Pending Verification,Review supporting records
WS/MP18041/2025,Bihar,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),RAJESH RANJAN ALIAS PAPPU YADAV,PURNEA,Normal/Others,16 miter unchai wale L.E.D. (150*8) high mask light mehta chauk nahar ke pas aek adad adhisthapit karne ki anusansha ki jati hai,850000.0,850000.0,13121600.0,3600000.0,147000000.0,Physical Inspection,Completed,1,2024-09-25,2025-04-26,2026-07-03,2025-09-22,213.0,433.0,362.0,1543.7176470588236,12271600.0,1443.7176470588236,-12271600.0,SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS,1,13121600.0,13121600.0,1,1,100.0,16.0,,,5,Unusual Expenditure; Duplicate Payment; Transaction Outlier,87.93108188466266,52,73.56,High,79.4,expenditure is in an extreme upper range; expenditure exceeds effective sanctioned amount; possible repeated work/vendor/amount payment pattern,ALT-20260902-0003,HIGH,Pending Verification,Review supporting records
WS/MP334/2024,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,Normal/Others,Installation of mask light in thakurchak panchayat: 1)Near bajrang bali mandir 2)Near masjid,300000.0,150000.0,4790763.0,149710.0,147000000.0,Sanction,Completed,1,2024-10-02,2025-02-10,2026-07-02,2026-04-07,131.0,507.0,552.0,3193.842,4640763.0,3093.842,-4640763.0,EXECUTIVE ENGINER NREP GIRIDIH,1,4790763.0,4790763.0,1,1,100.0,29.0,,,4,Cost Overrun; Duplicate Payment,91.86949651416947,44,72.72,High,78.4,cost deviation is unusually high; possible repeated work/vendor/amount payment pattern,ALT-20260902-0004,HIGH,Pending Verification,Review supporting records
WS/MP18380/2024,Uttar Pradesh,PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA),VINOD KUMAR BIND,BHADOHI,Normal/Others,Gram Sabha Bela Khas Lal Bahadur Maurya Ke Ghar ke pas,118957.0,118957.0,3331210.0,118957.0,147000000.0,Physical Inspection,Completed,1,2024-09-27,2025-01-03,2026-07-10,2026-07-23,98.0,553.0,664.0,2800.3480249165664,3212253.0,2700.3480249165664,-3212253.0,Gandhi Construction And Supplier,1,3331210.0,3331210.0,1,1,100.0,28.0,,,4,Cost Overrun; Duplicate Payment,89.7701262767327,44,71.46,High,76.8,cost deviation is unusually high; possible repeated work/vendor/amount payment pattern,ALT-20260902-0005,HIGH,Pending Verification,Review supporting records
WS/MP18308/2025,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,Normal/Others,"P/F C.C.T.V. Camera at Majaswadi Sarvoday Nagar, Near M.H.B. Colony, Jogeshwari (E)",,100000.0,8094991.0,,147000000.0,Sanction,,0,2024-10-10,,2026-08-05,,,,,8094.991,7994991.0,7994.991,-7994991.0,Mahendra Jagannath Lokhande,1,8094991.0,8094991.0,1,1,100.0,4.0,,,3,Cost Overrun,100.0,26,70.4,High,75.5,cost deviation is unusually high,ALT-20260902-0006,HIGH,Pending Verification,Review supporting records
WS/MP18019/2026,Assam,DIMA HASAO(DEPUTY COMMISSIONER Dima Hasao_IDA),AMARSING TISSO,Diphu (ST),Normal/Others,"Construction of Community Building with Library, Guest Room, Conference Room at Haflong, Dima Hasao District (Total Estd. Cost:- Rs. 1.00 Cr.) 1st Installment Rs. 50.00 Lakhs",5000000.0,5000000.0,6952786.0,,147000000.0,Physical Inspection,,0,2024-09-06,2026-07-31,2026-08-21,,693.0,21.0,,139.05572,1952786.0,39.05572,-1952786.0,GAUTAM HANSE,3,8357353.0,2785784.3333333335,1,1,83.19363798561578,10.0,,,3,Duplicate Payment,100.0,26,70.4,High,75.5,expenditure exceeds effective sanctioned amount; possible repeated work/vendor/amount payment pattern,ALT-20260902-0007,HIGH,Pending Verification,Review supporting records
WS/MP18049/2025,Chhattisgarh,BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA),TOKHAN SAHU,BILASPUR,Normal/Others,Ward No.18 Chandni Chowk Sthit Bhawan me Shed Nirman,,100000.0,7152762.0,499508.0,147000000.0,Sanction,Completed,1,2024-11-13,,2026-08-27,2026-03-29,,,501.0,7152.762,7052762.0,7052.762,-7052762.0,gram panchayat lilapur,1,7152762.0,7152762.0,1,1,100.0,8.0,,,3,Cost Overrun,100.0,26,70.4,High,75.5,cost deviation is unusually high,ALT-20260902-0008,HIGH,Pending Verification,Review supporting records
WS/MP18109/2025,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DR. RAJESH MISHRA,SIDHI,Normal/Others,SARASWATI HIGHER SECONDARY SCHOOL KARAUNDIYA DIST SIDHI ME PRAYOGIK VGYAN SAMAGRI,,35000.0,4364485.0,1499438.0,262724510.35,Vendor Identification,Completed,1,2024-10-30,,2026-08-25,2026-07-28,,,636.0,12469.957142857143,4329485.0,12369.957142857143,-4329485.0,SE O and M MPPKVVCL SIDHI,1,4364485.0,4364485.0,1,1,100.0,18.0,,,3,Cost Overrun,94.97494915800372,26,67.38,High,71.7,cost deviation is unusually high,ALT-20260902-0009,HIGH,Pending Verification,Review supporting records
WS/MP18019/2024,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO,Diphu (ST),Repair and Renovation,"Improvement of Poultry Farm near ""KERUF- Karbi Ex-Revolutionary United Forum"" Office, 5th Mile, Diphu",500000.0,500000.0,145176.0,199904.0,147000000.0,Physical Inspection,Completed,1,2024-10-28,2025-02-10,2026-07-16,2026-01-01,105.0,521.0,430.0,29.0352,-354824.0,-70.9648,354824.0,GAUTAM HANSE,3,8357353.0,2785784.3333333335,1,1,1.7371050379228925,5.0,,,2,Duplicate Payment,92.45968400399937,18,62.68,High,65.8,possible repeated work/vendor/amount payment pattern,ALT-20260902-0010,HIGH,Pending Verification,Review supporting records
WS/MP18328/2026,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,Bar and Associations,Purchasing of Books for Library of BAR Assocation Chachiot at Gohar. Work Executed By - BAR Association Chachiot at Gohar District Mandi.,,50000.0,3465000.0,,147000000.0,Vendor Identification,,0,2024-10-18,,2026-08-27,,,,,6930.0,3415000.0,6830.0,-3415000.0,GP Barot,1,3465000.0,3465000.0,1,1,100.0,27.0,,,3,Cost Overrun,85.19884494891463,26,61.52,High,64.4,cost deviation is unusually high,ALT-20260902-0011,HIGH,Pending Verification,Review supporting records
WS/MP823/2025,West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,Normal/Others,"Low land upgradation of hospital garden under Natidanga-I GP, Karimpur-II Block.",72859.0,72859.0,3994199.0,99713.0,159865046.0,Physical Inspection,Completed,1,2024-09-08,2025-07-02,2026-08-21,2026-07-31,297.0,415.0,691.0,5482.094181913009,3921340.0,5382.094181913009,-3921340.0,AGAMESWARI CO OPERATIVE LABOUR CONTRACT AND CONSTRUCTION SOCIETY LTD,1,3994199.0,3994199.0,1,1,100.0,1.0,,,2,Cost Overrun,83.33135184015144,26,60.4,High,63.0,cost deviation is unusually high,ALT-20260902-0012,HIGH,Pending Verification,Review supporting records
