constituency,budget,expenditure,projects,utilization_pct
NANDURBAR(ST),1199000.0,31532479.0,1,2629.8981651376143
PURNEA,1700000.0,13121600.0,2,771.8588235294118
SULTANPUR,11352234.0,9707139.0,2,85.50862323662462
AMRAVATI(SC),1400000.0,9075498.0,2,648.2498571428572
BILASPUR,600000.0,8652395.0,2,1442.0658333333333
MANDI,1680000.0,8466685.0,3,503.96934523809523
Diphu (ST),8000000.0,8357353.0,3,104.46691249999999
MUMBAI NORTH WEST,100000.0,8094991.0,1,8094.991
MUMBAI NORTH,1500000.0,7993929.0,1,532.9286
LALGANJ (SC),1500000.0,7568246.0,2,504.54973333333334
SUNDARGARH (ST),1598256.0,6685519.0,2,418.300885465157
POLLACHI,2248805.0,6281543.0,3,279.32804311623283
KAUSHAMBI(SC),198720.0,6218338.0,3,3129.1958534621576
Puducherry,7600000.0,5732781.0,3,75.43132894736843
HAMIRPUR_UP,1400000.0,5326879.0,2,380.49135714285717
BIJNOR,312700.0,5164365.0,1,1651.5398145187082
THOOTHUKKUDI,8748954.0,4930818.0,3,56.358943023360276
AKOLA,1483603.0,4899036.0,2,330.21205807753154
UDUPI CHIKMAGALUR,1298517.0,4893912.0,3,376.88470770887096
AJMER,5600000.0,4848067.0,2,86.572625
GIRIDIH,150000.0,4790763.0,1,3193.842
AMBEDKAR NAGAR,1000000.0,4741067.0,2,474.1067
DAHOD(ST),3800000.0,4660843.0,5,122.65376315789473
BARDHAMAN PURBA(SC),4641916.0,4653921.0,2,100.25862165536816
SONEPAT,545000.0,4549243.0,1,834.7234862385321
MANDLA(ST),2000000.0,4541000.0,2,227.05
SIDHI,294942.0,4364485.0,2,1479.7773799594497
TIKAMGARH(SC),1449039.0,4232391.0,2,292.08261475364014
TAMLUK,600000.0,4221728.0,2,703.6213333333334
KRISHNANAGAR,2011295.0,3994199.0,2,198.58842188739095
ROHTAK,3700000.0,3937411.0,3,106.41651351351351
IDUKKI,423445.0,3901042.0,2,921.262973939945
BOLPUR(SC),2497453.0,3831301.0,2,153.40833240905835
DHARWAD,995031.0,3788911.0,2,380.7832117793315
SABARKANTHA,1100000.0,3700000.0,2,336.3636363636364
AMRELI,600000.0,3607870.0,2,601.3116666666667
GURGAON,3999118.0,3594646.0,3,89.88596985635333
LATUR(SC),3091677.0,3585791.0,3,115.98207057205524
ELURU,4004000.0,3534081.0,3,88.26376123876123
NILGIRIS(SC),1899920.0,3482790.0,2,183.31245526127415
BHADOHI,118957.0,3331210.0,1,2800.3480249165664
KANNUR,800000.0,3131605.0,2,391.450625
BIDAR,250000.0,3111750.0,1,1244.6999999999998
BANGALORE RURAL,1800000.0,3052097.0,3,169.56094444444446
GOPALGANJ (SC),3022374.0,2849175.0,3,94.26943852746219
THANJAVUR,2679448.0,2724837.0,2,101.6939683098907
ANAND,548225.0,2504137.0,2,456.77176341830454
KADAPA,2947908.0,2448989.0,2,83.07548946574995
MALKAJGIRI,1800000.0,2314711.0,2,128.59505555555555
NIZAMABAD,1095000.0,2290112.0,3,209.14264840182648
UDHAMPUR,469169.0,2251969.0,2,479.99100537333027
BHIWANI MAHENDRAGARH,2587961.0,2161765.0,2,83.53159108657357
CHALAKUDY,5757000.0,2118993.0,2,36.80724335591454
BASTAR(ST),978916.0,2108230.0,2,215.36372885926883
SATARA,1700000.0,2106470.0,2,123.91000000000001
JANJGIR CHAMPA(SC),650000.0,2064285.0,2,317.5823076923077
AURANGABAD_BR,1096748.0,2005001.0,3,182.81328071717476
OSMANABAD,1599674.0,1978374.0,4,123.67357349059871
BIKANER(SC),2100000.0,1962162.0,2,93.43628571428572
DHUBRI,1500000.0,1921593.0,3,128.1062
CUDDALORE,450000.0,1899126.0,1,422.02799999999996
MAVELIKKARA(SC),3654595.0,1799589.0,2,49.241817492772796
MURSHIDABAD,1500000.0,1731974.0,1,115.46493333333333
UDAIPUR(ST),1200000.0,1719695.0,2,143.30791666666667
SALEMPUR,1619000.0,1692076.0,3,104.5136504014824
TIRUVALLUR(SC),1085066.0,1557710.0,2,143.55900931371917
BHONGIR,200000.0,1500000.0,2,750.0
DHARAMAPURI,2655000.0,1498703.0,2,56.44832391713748
DARJEELING,1987274.0,1483321.0,4,74.6409906233363
INDORE,250000.0,1408491.0,1,563.3964
ARAMBAG(SC),877848.0,1358026.0,2,154.6994468290638
KANGRA,300000.0,1343341.0,2,447.7803333333333
KHANDWA,1000000.0,1319136.0,3,131.9136
RAIGARH(ST),2000000.0,1304437.0,2,65.22185
CHELVELLA,998483.0,1237552.0,2,123.94322186757311
TIRUPATI(SC),500000.0,1159001.0,1,231.8002
DIAMOND HARBOUR,1894000.0,1143503.0,2,60.37502639915523
KOLLAM,1500000.0,1100546.0,1,73.36973333333333
KURUKSHETRA,1600000.0,1063230.0,2,66.451875
ETAWAH(SC),537828.0,1037220.0,2,192.85347731988665
ULUBERIA,1748128.0,996658.0,2,57.01287319921653
KASARAGOD,600000.0,990000.0,1,165.0
RAJAMPET,500000.0,981744.0,1,196.34879999999998
MACHILIPATNAM,880986.0,967831.0,2,109.85770488974853
JOYNAGAR(SC),1449801.0,874827.0,2,60.34117785820261
HOSHANGABAD,105000.0,831020.0,1,791.4476190476191
RAIPUR,1000000.0,802008.0,2,80.2008
PATHANAMTHITTA,2417190.0,801857.0,6,33.17310596188136
SHIMLA (SC),350000.0,800000.0,2,228.57142857142856
RANAGHAT(SC),1306488.0,793627.0,2,60.745066162107875
VIRUDHUNAGAR,3249124.0,744259.0,2,22.906451092663747
SAGAR,1200000.0,713029.0,2,59.41908333333333
PATAN,800000.0,700000.0,2,87.5
NAMAKKAL,1049965.0,649675.0,3,61.87587205287796
GHAZIPUR,1739700.0,599279.0,3,34.44726102201529
MANDSOUR,799246.0,575000.0,2,71.9428060947443
KORBA,500000.0,569193.0,2,113.83859999999999
UTTARA KANNADA,1500000.0,525000.0,2,35.0
ANANDPUR SAHIB,500000.0,503751.0,1,100.75019999999999
MATHURAPUR(SC),849380.0,497927.0,2,58.62240693211519
MIZORAM (ST),2057115.0,490000.0,2,23.819767003789288
NOWGONG,600000.0,467686.0,3,77.94766666666668
SREERAMPUR,1665355.0,450683.0,2,27.06227801279607
TIRUVANNAMALAI,1435000.0,445468.0,2,31.043066202090593
JORHAT,350000.0,405950.0,2,115.9857142857143
ERODE,2300000.0,400000.0,2,17.391304347826086
BARDHAMAN-DURGAPUR,1281205.0,398628.0,2,31.113522035895897
FARIDKOT(SC),500000.0,390894.0,2,78.17880000000001
LAKHIMPUR,2000000.0,350377.0,2,17.51885
AHMEDABAD EAST,1000000.0,337854.0,1,33.785399999999996
RAE BARELI,500000.0,331291.0,1,66.2582
BARDOLI(ST),1767000.0,250000.0,3,14.148273910582908
SARGUJA(ST),1000000.0,249749.0,1,24.974899999999998
BIRBHUM,780089.0,249653.0,2,32.003143231092864
TEHRI GARHWAL,2498299.0,239085.0,1,9.56991136769458
BALLIA,906470.0,216409.0,2,23.873818217922267
DURG,1000000.0,200000.0,1,20.0
KARUR,137500.0,199966.0,1,145.42981818181818
ROBERTSGANJ(SC),432999.0,182650.0,2,42.18254545622507
ALAPPUZHA,4658334.0,154707.0,4,3.321080025605721
BHATINDA,400000.0,150000.0,1,37.5
