sr_no,state,ida,mp_name,mp_key,constituency,work_raw,work_id,work_category,work_description,recommended_date,recommended_amount,sanction_date,sr_no_san,work_raw_san,sanction_date_san,sanction_amount,work_status,sr_no_comp,work_raw_comp,completion_date,amount_disbursed,completion_status,expenditure_amount,expenditure_date,vendor_name,vendor_key,expenditure_transaction_count,payment_status,allocated_amount,allocation_state,allocation_constituency,calamity_count,calamity_consent_amount,calamity_types,effective_sanction_amount,recommendation_to_sanction_days,sanction_to_expenditure_days,project_duration_days,utilization_pct,cost_overrun_amount,cost_deviation_pct,remaining_sanction_amount,allocation_utilization_pct,effectively_completed,mp_total_projects,mp_total_sanction_amount,mp_total_expenditure_amount,mp_utilization_pct,category_median_sanction,cost_vs_category_median_pct,vendor_project_count,vendor_total_payment,vendor_average_payment,vendor_mp_count,vendor_state_count,vendor_payment_share_pct,flag_unusual_expenditure,flag_cost_overrun,flag_extreme_cost_overrun,flag_delayed_project,flag_suspicious_vendor,flag_multiple_payments,flag_duplicate_payment,flag_duplicate_beneficiary,flag_geographic_inconsistency,flag_transaction_outlier,anomaly_count,rule_score,ml_anomaly_score,risk_score,risk_category,risk_signal_strength,anomaly_type,explanation
509,West Bengal,DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA),Raju Bista,RAJU BISTA,DARJEELING,NA-Construction of additional rooms and halls in the existing public and community building,NA-CONSTRUCTIONOFADDITIONALROOMSANDHALLSINTHEEXISTINGPUBLICANDCOMMUNITYBUILDING,Normal/Others,"Construction of additional rooms at Milan Sangha, Naguru Jote, Nimai, Patharghata Gram Panchayat Ref: Shailesh Sing (7384197077)",2024-08-16,500000.0,,,,,,,,,,,,,,,,,,147000000.0,West Bengal,DARJEELING,,,,500000.0,,,,,,,,0.3401360544217687,0,4,1987274.0,1483321.0,74.6409906233363,600000.0,-16.666666666666664,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,6.242216228812827,3.75,Low,0.0,None,No material anomaly signal detected.
2735,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,JASWANTSINH SUMANBHAI BHABHOR,DAHOD(ST),NA-Construction of buildings for community cultural activities,NA-CONSTRUCTIONOFBUILDINGSFORCOMMUNITYCULTURALACTIVITIES,Normal/Others,bavka game sarve number 454 ma samajghar nu kam,2024-09-20,2500000.0,,,,,,,,,,,,,,,,,,147000000.0,Gujarat,DAHOD(ST),,,,2500000.0,,,,,,,,1.7006802721088436,0,5,3800000.0,4660843.0,122.65376315789473,600000.0,316.66666666666663,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,31.96045011037724,19.18,Low,11.5,None,No material anomaly signal detected.
1937,Kerala,ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),K. C VENUGOPAL,K C VENUGOPAL,ALAPPUZHA,NA-Construction of buildings for crèches and anganwadies,NA-CONSTRUCTIONOFBUILDINGSFORCRÈCHESANDANGANWADIES,Normal/Others,Construction of a building for Anganwadi No.18 in the 1st ward of Devikulangara GP,2024-09-06,1500000.0,,,,,,,,,,,,,,,,,,147000000.0,Kerala,ALAPPUZHA,,,,1500000.0,,,,,,,,1.0204081632653061,0,4,4658334.0,154707.0,3.321080025605721,600000.0,150.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,10.938250131305999,6.56,Low,0.0,None,No material anomaly signal detected.
3561,Kerala,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Anto Antony,ANTO ANTONY,PATHANAMTHITTA,NA-Construction of bus-sheds or bus-stops,NA-CONSTRUCTIONOFBUS-SHEDSORBUS-STOPS,Normal/Others,Construction of Bus waiting Shed at Placherry Junction.,2024-09-24,500000.0,,,,,,,,,,,,,,,,,,147000000.0,Kerala,PATHANAMTHITTA,,,,500000.0,,,,,,,,0.3401360544217687,0,6,2417190.0,801857.0,33.17310596188136,600000.0,-16.666666666666664,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,16.20904039431112,9.73,Low,0.0,None,No material anomaly signal detected.
1798,Maharashtra,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),Sanjay Uttamrao Deshmukh,SANJAY UTTAMRAO DESHMUKH,YAVATMAL-WASHIM,NA-Construction of common work sheds/ common covered sitting area,NA-CONSTRUCTIONOFCOMMONWORKSHEDS/COMMONCOVEREDSITTINGAREA,Normal/Others,Construction of common coverd sitting work shed for senior citizen at anywhere in Old Digras-Darwha Road,2024-10-07,500000.0,,,,,,,,,,,,,,,,,,185640423.0,Maharashtra,YAVATMAL-WASHIM,,,,500000.0,,,,,,,,0.26933789091829424,0,1,500000.0,0.0,0.0,600000.0,-16.666666666666664,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,4.742153870853554,2.85,Low,0.0,None,No material anomaly signal detected.
3178,Assam,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),Pradyut Bordoloi,PRADYUT BORDOLOI,NOWGONG,NA-Construction of community centers and community halls,NA-CONSTRUCTIONOFCOMMUNITYCENTERSANDCOMMUNITYHALLS,Normal/Others,"Construction of community hall at Teromile near Iman Ali house, Pachim Salpara, Salpara GP",2024-12-02,200000.0,,,,,,,,,,,,,,,,,,98000000.0,Assam,NOWGONG,,,,200000.0,,,,,,,,0.20408163265306123,0,3,600000.0,467686.0,77.94766666666668,600000.0,-66.66666666666666,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,13.321009789549151,7.99,Low,0.0,None,No material anomaly signal detected.
1938,Kerala,ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),K. C VENUGOPAL,K C VENUGOPAL,ALAPPUZHA,"NA-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","NA-CONSTRUCTIONOFGOVERNMENTOFFICEBUILDINGS(POSTOFFICE,POLICESTATION,POLICECHAUKI,ETC.)",Normal/Others,Construction of a building for Health Sub centre in the 18th ward of Thanneermukkam GP,2024-09-06,2000000.0,,,,,,,,,,,,,,,,,,147000000.0,Kerala,ALAPPUZHA,,,,2000000.0,,,,,,,,1.3605442176870748,0,4,4658334.0,154707.0,3.321080025605721,600000.0,233.33333333333334,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,14.753460960691825,8.85,Low,0.0,None,No material anomaly signal detected.
2741,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,JASWANTSINH SUMANBHAI BHABHOR,DAHOD(ST),NA-Construction of public irrigation facilities,NA-CONSTRUCTIONOFPUBLICIRRIGATIONFACILITIES,Normal/Others,nagvav game patel faliya ma samuhik kuva nu kam,2024-09-20,300000.0,,,,,,,,,,,,,,,,,,147000000.0,Gujarat,DAHOD(ST),,,,300000.0,,,,,,,,0.20408163265306123,0,5,3800000.0,4660843.0,122.65376315789473,600000.0,-50.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,20.07181807751685,12.04,Low,2.5,None,No material anomaly signal detected.
353,West Bengal,Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA),JAGADISH CHANDRA BARMA BASUNIA,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),"NA-Construction of roads, link roads, pathways or any other road with or without drainage system","NA-CONSTRUCTIONOFROADS,LINKROADS,PATHWAYSORANYOTHERROADWITHORWITHOUTDRAINAGESYSTEM",Normal/Others,ESTIMATE FOR CONSTRUCTION OF BLACKTOP ROAD FROM BABUMIAH TO CHANDI SAL ROAD VIA SASHADHAR ROY HOUSE AT DUDHER KUTHI DEWANBOSH UNDER SUKTABARI G.P. WITHIN COOCH BEHAR-I P.S.,2025-03-07,5697372.0,,,,,,,,,,,,,,,,,,168604641.11,West Bengal,COOCHBEHAR(SC),,,,5697372.0,,,,,,,,3.379131180785798,0,4,10184723.0,0.0,0.0,600000.0,849.562,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,59.3828069927402,35.63,Medium,32.0,None,No material anomaly signal detected.
3495,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),SK NURUL ISLAM,SK NURUL ISLAM,BASIRHAT,NA-Construction of rooms and halls in school and colleges,NA-CONSTRUCTIONOFROOMSANDHALLSINSCHOOLANDCOLLEGES,Trust and Society,Construction of Building of Jamia Rahmania Madrasah run by All India Sunnat Al Jamayat under Ghorarash Kulingram G.P & Basirhat II Panchayat Samity. (Sl.No-2),2024-09-20,2000000.0,,,,,,,,,,,,,,,,,,49000000.0,West Bengal,BASIRHAT,,,,2000000.0,,,,,,,,4.081632653061225,0,6,5750000.0,0.0,0.0,1000000.0,100.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,70.85697955040442,42.51,Medium,40.6,ML Anomaly,multivariate pattern is unusual versus uploaded batch
