month,allocated_amount,utilised_amount
2024-07,2475000.0,0.0
2024-08,38908000.0,0.0
2024-09,11739269.0,0.0
2024-10,23968552.0,0.0
2024-11,85246273.0,0.0
2024-12,20208817.0,0.0
2025-01,23248130.64,0.0
2025-02,7582776.0,0.0
2025-03,26278978.0,0.0
2025-04,15713687.0,0.0
2025-05,9185155.0,0.0
2025-06,4977854.0,150000.0
2025-07,7677949.0,200000.0
2025-08,18744000.0,216409.0
2025-09,5436580.0,550000.0
2025-10,700000.0,340078.0
2025-11,858311.0,333597.0
2025-12,1927023.0,1447098.0
2026-01,7699246.0,1068967.0
2026-02,3347573.0,3146875.0
2026-03,1399880.0,10743217.0
2026-04,1200000.0,9555330.0
2026-05,2694047.0,18196999.0
2026-06,2100000.0,23987151.0
2026-07,6267190.0,530419637.0
2026-08,0.0,957934701.0
NaT,240553108.0,0.0
