mp_key,mp_name,state,constituency,projects_analyzed,total_recommended,total_sanctioned,total_expenditure,total_cost_overrun,average_risk_score,max_risk_score,high_risk_projects,critical_projects,anomaly_projects,utilization_pct,risk_category
ADV GOWAAL KAGADA PADAVI,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR(ST),1,1199000.0,1199000.0,31532479.0,30333479.0,80.8,80.8,1,1,1,2629.8981651376143,Critical
SHRI CHANDRA PRAKASH CHOUDHARY,Shri Chandra Prakash Choudhary,Jharkhand,GIRIDIH,1,300000.0,150000.0,4790763.0,4640763.0,72.72,72.72,1,0,1,3193.842,High
VINOD KUMAR BIND,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,1,118957.0,118957.0,3331210.0,3212253.0,71.46,71.46,1,0,1,2800.3480249165664,High
RAVINDRA DATTARAM WAIKAR,RAVINDRA DATTARAM WAIKAR,Maharashtra,MUMBAI NORTH WEST,1,0.0,100000.0,8094991.0,7994991.0,70.4,70.4,1,0,1,8094.991,High
AMARSING TISSO,AMARSING TISSO,Assam,Diphu (ST),3,8000000.0,8000000.0,8357353.0,1952786.0,63.943333333333335,70.4,2,0,3,104.46691249999999,High
PIYUSH VEDPRAKASH GOYAL,Piyush Vedprakash Goyal,Maharashtra,MUMBAI NORTH,1,1500000.0,1500000.0,7993929.0,6493929.0,58.57,58.57,0,0,1,532.9286,Medium
RAMBHUAL NISHAD,RAMBHUAL NISHAD,Uttar Pradesh,SULTANPUR,2,0.0,11352234.0,9707139.0,8207139.0,55.66,59.44,0,0,1,85.50862323662462,Medium
SHRI KUMBAKUDI SUDHAKARAN,Shri Kumbakudi Sudhakaran,Kerala,KANNUR,2,800000.0,800000.0,3131605.0,2331605.0,54.94,56.91,0,0,2,391.450625,Medium
SHRI ARUN KUMAR SAGAR,Shri Arun Kumar Sagar,Uttar Pradesh,SHAHJAHANPUR(SC),1,37908000.0,37908000.0,0.0,0.0,54.62,54.62,0,0,0,0.0,Medium
SHRI RAJMOHAN UNNITHAN,Shri Rajmohan Unnithan,Kerala,KASARAGOD,1,600000.0,600000.0,990000.0,390000.0,52.72,52.72,0,0,1,165.0,Medium
NEERAJ MAURYA,NEERAJ MAURYA,Uttar Pradesh,AONLA,1,46470400.0,46470400.0,0.0,0.0,50.61,50.61,0,0,0,0.0,Medium
PUSHPENDRA SAROJ,PUSHPENDRA SAROJ,Uttar Pradesh,KAUSHAMBI(SC),3,147920.0,198720.0,6218338.0,6108382.0,49.31333333333333,77.6,1,0,2,3129.1958534621576,Medium
TOKHAN SAHU,TOKHAN SAHU,Chhattisgarh,BILASPUR,2,0.0,600000.0,8652395.0,8052395.0,48.215,70.4,1,0,2,1442.0658333333333,Medium
SATPAL BRAHAMCHARI,SATPAL BRAHAMCHARI,Haryana,SONEPAT,1,300000.0,545000.0,4549243.0,4004243.0,47.61,47.61,0,0,1,834.7234862385321,Medium
RAJESH RANJAN ALIAS PAPPU YADAV,RAJESH RANJAN ALIAS PAPPU YADAV,Bihar,PURNEA,2,1700000.0,1700000.0,13121600.0,12271600.0,45.605000000000004,73.56,1,0,1,771.8588235294118,Medium
DR RAJESH MISHRA,DR. RAJESH MISHRA,Madhya Pradesh,SIDHI,2,0.0,294942.0,4364485.0,4329485.0,44.775,67.38,1,0,1,1479.7773799594497,Medium
CHANDAN CHAUHAN,CHANDAN CHAUHAN,Uttar Pradesh,BIJNOR,1,603000.0,312700.0,5164365.0,4851665.0,42.31,42.31,0,0,1,1651.5398145187082,Medium
SHRIPAD YESSO NAIK,Shripad Yesso Naik,Goa,NORTH GOA,1,2500000.0,2500000.0,61425.0,0.0,40.88,40.88,0,0,0,2.4570000000000003,Medium
SHRI JUAL ORAM,Shri Jual Oram,Odisha,SUNDARGARH (ST),2,780000.0,1598256.0,6685519.0,5087263.0,40.77,52.99,0,0,2,418.300885465157,Medium
KANGANA RANAUT,Kangana Ranaut,Himachal Pradesh,MANDI,3,300000.0,1680000.0,8466685.0,7186685.0,39.73666666666667,61.52,1,0,2,503.96934523809523,Medium
BHAGIRATH CHAUDHARY,Bhagirath Chaudhary,Rajasthan,AJMER,2,999818.0,5600000.0,4848067.0,0.0,39.71,50.96,0,0,2,86.572625,Medium
KALANIDHI VEERASWAMY,Kalanidhi Veeraswamy,Tamil Nadu,CHENNAI NORTH,1,0.0,10000000.0,0.0,0.0,38.68,38.68,0,0,0,0.0,Medium
DR C N MANJUNATH,DR C N MANJUNATH,Karnataka,BANGALORE RURAL,3,1000000.0,1800000.0,3052097.0,2052500.0,38.413333333333334,44.87,0,0,3,169.56094444444446,Medium
SHRI DHARAMBIR SINGH,Shri Dharambir Singh,Haryana,BHIWANI MAHENDRAGARH,2,0.0,2587961.0,2161765.0,1629008.0,37.665,48.53,0,0,1,83.53159108657357,Medium
