month,projects,average_risk_score,critical,high,medium,low
2024-07,1,8.79,0,0,0,1
2024-08,3,21.196666666666665,0,0,1,2
2024-09,29,10.815172413793103,0,0,1,28
2024-10,84,7.478928571428572,0,0,4,80
2024-11,55,8.217636363636364,0,0,3,52
2024-12,25,7.037999999999999,0,0,0,25
2025-01,24,6.328333333333333,0,0,1,23
2025-02,7,8.982857142857144,0,0,0,7
2025-03,23,10.186521739130436,0,0,1,22
2025-04,7,8.778571428571428,0,0,0,7
2025-05,3,12.066666666666668,0,0,0,3
2025-06,4,10.79,0,0,0,4
2025-07,4,10.8475,0,0,0,4
2025-08,5,20.458,0,0,1,4
2025-09,4,8.647499999999999,0,0,0,4
2025-10,1,3.36,0,0,0,1
2025-11,1,9.97,0,0,0,1
2025-12,3,17.95,0,0,1,2
2026-01,4,12.0075,0,0,0,4
2026-02,3,15.75,0,0,0,3
2026-03,3,12.65,0,0,0,3
2026-04,2,14.075,0,0,0,2
2026-06,4,19.5725,0,0,0,4
2026-07,31,30.86258064516129,0,5,5,21
2026-08,118,29.56915254237288,1,6,36,75
