state,projects_analyzed,total_sanctioned,total_expenditure,total_cost_overrun,average_project_cost,average_risk_score,high_risk_projects,critical_projects,anomaly_projects,utilization_pct
Goa,1,2500000.0,61425.0,0.0,2500000.0,40.88,0,0,0,2.4570000000000003
Puducherry,3,7600000.0,5732781.0,2902914.0,2533333.3333333335,30.326666666666664,0,0,1,75.43132894736843
Odisha,3,1798256.0,6685519.0,5087263.0,599418.6666666666,27.97,0,0,2,371.7779337313486
Uttarakhand,1,2498299.0,239085.0,0.0,2498299.0,26.21,0,0,0,9.56991136769458
Haryana,11,12432079.0,15306295.0,11791221.0,1130189.0,26.166363636363634,0,0,7,123.11935115598926
Himachal Pradesh,7,2330000.0,10610026.0,8980026.0,332857.14285714284,24.994285714285716,1,0,4,455.36592274678117
Assam,15,13750000.0,11502959.0,3438562.0,916666.6666666666,22.500666666666667,2,0,7,83.65788363636364
Kerala,23,24358108.0,13998339.0,6445747.0,1059048.1739130435,21.710434782608694,0,0,8,57.468909325798215
Sikkim,1,5000000.0,0.0,0.0,5000000.0,21.14,0,0,0,0.0
Jharkhand,4,1205800.0,4790763.0,4640763.0,301450.0,19.8675,1,0,1,397.3099187261569
Karnataka,15,13882488.0,15371670.0,12297073.0,925499.2,18.726666666666667,0,0,7,110.72705411306676
Telangana,11,5593483.0,7342375.0,4993892.0,508498.45454545453,17.26,0,0,4,131.26660079238644
Chhattisgarh,16,10478391.0,15950297.0,12025540.0,654899.4375,16.517500000000002,1,0,8,152.22086100814525
Maharashtra,32,30017275.0,69266568.0,62523464.0,938039.84375,16.1675,2,1,8,230.75568318576552
Uttar Pradesh,61,137861374.64,46221647.0,40181357.0,2260022.535081967,16.167213114754098,2,0,16,33.527626661709604
West Bengal,62,90967366.0,26679976.0,15650906.0,1467215.5806451612,16.083709677419357,1,0,19,29.32917283765257
Jammu And Kashmir,2,469169.0,2251969.0,2083969.0,234584.5,16.025,0,0,1,479.99100537333027
Andhra Pradesh,14,17650308.0,9091646.0,5653238.0,1260736.2857142857,15.470714285714285,0,0,5,51.50984334097739
Madhya Pradesh,29,32005593.0,18059552.0,13641489.0,1103641.1379310344,14.417241379310346,1,0,9,56.42623775163297
Tamil Nadu,50,87472085.0,24814895.0,11830662.0,1749441.7,14.2194,0,0,14,28.368930499370173
Gujarat,25,13427603.0,15760704.0,12399350.0,537104.12,12.5656,0,0,8,117.37540944575142
Punjab,9,2912532.0,1044645.0,194645.0,323614.6666666667,12.051111111111112,0,0,2,35.86724540708909
Rajasthan,17,16540719.0,8529924.0,1119536.0,972983.4705882353,11.260588235294119,0,0,7,51.569245569071086
Bihar,28,29263147.0,17975776.0,15333028.0,1045112.3928571428,9.352500000000001,1,0,4,61.428034380581146
Mizoram,2,2057115.0,490000.0,240000.0,1028557.5,8.23,0,0,1,23.819767003789288
Arunachal Pradesh,2,3200000.0,0.0,0.0,1600000.0,3.63,0,0,0,0.0
Delhi,2,1566208.0,0.0,0.0,783104.0,3.045,0,0,0,0.0
Nagaland,1,300000.0,0.0,0.0,300000.0,2.12,0,0,0,0.0
Meghalaya,1,1000000.0,0.0,0.0,1000000.0,1.49,0,0,0,0.0
