transaction_id,work_id,vendor_name,amount,date,expected_range,deviation_percent,ai_flag,payment_status
TXN-000001,WS/MP18218/2025,DARSH BUILDCON,799146.0,2026-08-21,558476.4 - 825493.2,15.486062699643105,LOW,Payment In-Progress
TXN-000002,WS/MP18218/2025,DARSH BUILDCON,832080.0,2026-08-04,558476.4 - 825493.2,20.245415795260236,MEDIUM,Payment In-Progress
TXN-000003,WS/MP18218/2025,DARSH BUILDCON,498309.0,2026-08-04,558476.4 - 825493.2,-27.988447145081803,MEDIUM,Payment In-Progress
TXN-000004,WS/MP650/2025,SHRI GANESH ASSOCIATES PROPRIETOR NARAYAN SHARMA,101562.0,2026-08-23,97771.2 - 101140.8,2.117519305019305,LOW,Payment In-Progress
TXN-000005,WS/MP650/2025,SHRI GANESH ASSOCIATES PROPRIETOR NARAYAN SHARMA,97350.0,2026-08-23,97771.2 - 101140.8,-2.117519305019305,LOW,Payment In-Progress
TXN-000006,WS/MP18350/2025,MEMBER SECY OB AND OC WWB BBSR,3000.0,2026-08-17,4200.0 - 7000.0,-46.42857142857143,MEDIUM,Payment In-Progress
TXN-000007,WS/MP18263/2025,KRIDL BHUSIRI ACCOUNT WORKS,75000.0,2026-08-18,137500.0 - 750000.0,-83.09859154929578,HIGH,Payment In-Progress
TXN-000008,WS/MP300/2025,MEMBER SECY OB AND OC WWB BBSR,7000.0,2026-08-25,4200.0 - 7000.0,25.0,MEDIUM,Payment In-Progress
TXN-000009,WS/MP18150/2026,MEMBER SECY OB AND OC WWB BBSR,7000.0,2026-08-25,4200.0 - 7000.0,25.0,MEDIUM,Payment In-Progress
TXN-000010,WS/MP18150/2026,MEMBER SECY OB AND OC WWB BBSR,7000.0,2026-08-21,4200.0 - 7000.0,25.0,MEDIUM,Payment In-Progress
TXN-000011,WS/MP18082/2025,KRIDL BHUSIRI ACCOUNT WORKS,250000.0,2026-08-10,137500.0 - 750000.0,-43.66197183098591,MEDIUM,Payment In-Progress
TXN-000012,WS/MP18093/2026,KRIDL BHUSIRI ACCOUNT WORKS,750000.0,2026-07-02,137500.0 - 750000.0,69.01408450704226,HIGH,Payment In-Progress
