source_a,source_b,unique_ids_a,unique_ids_b,overlap_ids
recommended,recommended,270,270,270
recommended,sanctioned,270,422,244
recommended,completed,270,760,219
recommended,expenditure,270,659,77
sanctioned,recommended,422,270,244
sanctioned,sanctioned,422,422,422
sanctioned,completed,422,760,367
sanctioned,expenditure,422,659,156
completed,recommended,760,270,219
completed,sanctioned,760,422,367
completed,completed,760,760,760
completed,expenditure,760,659,342
expenditure,recommended,659,270,77
expenditure,sanctioned,659,422,156
expenditure,completed,659,760,342
expenditure,expenditure,659,659,659
